iter	Passed	Remaining
0	153	153821
1	157	78382
2	160	53238
3	163	40641
4	167	33264
5	169	28061
6	172	24443
7	175	21742
8	178	19639
9	181	17956
10	184	16584
11	187	15430
12	190	14451
13	193	13635
14	196	12919
15	200	12303
16	203	11746
17	206	11259
18	209	10818
19	212	10418
20	215	10061
21	219	9747
22	222	9456
23	226	9190
24	229	8938
25	232	8708
26	236	8509
27	239	8316
28	242	8133
29	246	7957
30	249	7786
31	252	7636
32	255	7491
33	258	7350
34	261	7218
35	264	7094
36	268	6978
37	271	6862
38	274	6760
39	277	6650
40	280	6553
41	283	6459
42	286	6370
43	289	6284
44	292	6205
45	295	6124
46	298	6051
47	301	5986
48	305	5922
49	308	5860
50	311	5799
51	314	5742
52	318	5687
53	321	5631
54	324	5577
55	327	5528
56	331	5476
57	334	5430
58	337	5382
59	340	5339
60	344	5296
61	347	5255
62	350	5212
63	352	5155
64	355	5117
65	358	5078
66	362	5042
67	365	5010
68	368	4973
69	371	4938
70	374	4903
71	377	4871
72	381	4842
73	384	4817
74	388	4789
75	391	4763
76	395	4735
77	398	4712
78	401	4686
79	405	4658
80	408	4633
81	411	4608
82	414	4582
83	417	4557
84	421	4535
85	424	4513
86	428	4492
87	431	4470
88	435	4453
89	438	4430
90	441	4410
91	443	4380
92	447	4365
93	450	4344
94	453	4323
95	457	4305
96	460	4285
97	463	4268
98	467	4251
99	470	4234
100	473	4217
101	477	4201
102	480	4184
103	483	4167
104	487	4151
105	490	4136
106	493	4121
107	497	4105
108	500	4090
109	503	4075
110	506	4060
111	510	4046
112	513	4032
113	517	4019
114	520	4006
115	524	3993
116	527	3980
117	530	3967
118	534	3955
119	537	3942
120	541	3930
121	544	3918
122	547	3905
123	550	3891
124	554	3878
125	557	3865
126	560	3851
127	563	3838
128	566	3826
129	570	3815
130	573	3803
131	577	3794
132	580	3782
133	583	3769
134	586	3757
135	589	3746
136	593	3735
137	596	3725
138	599	3714
139	602	3702
140	605	3690
141	608	3679
142	612	3669
143	615	3658
144	618	3648
145	621	3637
146	627	3642
147	630	3632
148	634	3623
149	637	3613
150	641	3604
151	644	3595
152	647	3585
153	651	3576
154	654	3569
155	658	3560
156	661	3552
157	665	3545
158	668	3536
159	672	3529
160	675	3521
161	679	3513
162	682	3504
163	686	3497
164	689	3489
165	692	3481
166	696	3473
167	699	3464
168	703	3456
169	706	3449
170	709	3440
171	712	3432
172	716	3424
173	719	3415
174	722	3407
175	725	3398
176	728	3389
177	732	3381
178	735	3373
179	738	3365
180	741	3357
181	744	3348
182	748	3340
183	751	3333
184	754	3325
185	758	3317
186	761	3310
187	764	3303
188	768	3295
189	771	3287
190	774	3280
191	778	3274
192	781	3266
193	784	3260
194	787	3252
195	791	3245
196	794	3239
197	798	3232
198	801	3227
199	805	3221
200	808	3215
201	812	3209
202	815	3203
203	819	3197
204	822	3191
205	826	3185
206	830	3180
207	833	3175
208	837	3168
209	840	3162
210	844	3156
211	847	3150
212	851	3144
213	854	3138
214	857	3132
215	861	3126
216	864	3120
217	868	3114
218	871	3107
219	874	3101
220	878	3094
221	881	3088
222	884	3081
223	887	3074
224	890	3067
225	893	3061
226	897	3055
227	900	3048
228	903	3042
229	906	3035
230	909	3028
231	913	3023
232	916	3017
233	919	3010
234	923	3004
235	926	2998
236	929	2993
237	933	2987
238	936	2982
239	940	2977
240	943	2971
241	946	2966
242	950	2961
243	954	2956
244	957	2950
245	960	2944
246	964	2940
247	967	2935
248	971	2929
249	974	2924
250	978	2919
251	982	2914
252	985	2910
253	989	2905
254	992	2900
255	996	2895
256	999	2890
257	1003	2885
258	1006	2880
259	1010	2875
260	1013	2869
261	1017	2865
262	1020	2859
263	1023	2854
264	1027	2849
265	1030	2843
266	1034	2839
267	1037	2834
268	1041	2829
269	1044	2824
270	1048	2820
271	1051	2815
272	1055	2810
273	1058	2805
274	1062	2801
275	1066	2797
276	1070	2794
277	1074	2789
278	1077	2784
279	1080	2779
280	1084	2774
281	1087	2768
282	1090	2763
283	1094	2758
284	1097	2753
285	1100	2748
286	1104	2743
287	1107	2737
288	1110	2732
289	1113	2727
290	1117	2721
291	1120	2716
292	1123	2711
293	1127	2706
294	1130	2702
295	1133	2696
296	1137	2691
297	1140	2686
298	1143	2681
299	1147	2676
300	1150	2671
301	1153	2666
302	1157	2661
303	1160	2656
304	1164	2652
305	1167	2647
306	1171	2643
307	1174	2639
308	1178	2635
309	1181	2630
310	1185	2626
311	1189	2622
312	1192	2618
313	1196	2613
314	1200	2610
315	1203	2606
316	1207	2601
317	1210	2596
318	1213	2591
319	1217	2586
320	1220	2581
321	1223	2576
322	1226	2571
323	1230	2566
324	1233	2561
325	1236	2556
326	1239	2551
327	1242	2546
328	1246	2541
329	1249	2536
330	1253	2532
331	1256	2528
332	1260	2525
333	1264	2521
334	1267	2516
335	1271	2512
336	1275	2508
337	1278	2503
338	1282	2499
339	1285	2495
340	1289	2491
341	1292	2486
342	1296	2483
343	1300	2479
344	1304	2476
345	1308	2472
346	1311	2468
347	1315	2464
348	1318	2459
349	1322	2455
350	1325	2451
351	1329	2447
352	1332	2443
353	1336	2439
354	1339	2434
355	1343	2431
356	1347	2426
357	1350	2422
358	1354	2418
359	1358	2414
360	1361	2410
361	1365	2406
362	1368	2401
363	1372	2397
364	1375	2393
365	1379	2389
366	1382	2384
367	1386	2380
368	1390	2377
369	1393	2373
370	1397	2369
371	1401	2365
372	1405	2361
373	1408	2357
374	1412	2353
375	1415	2349
376	1419	2345
377	1422	2340
378	1426	2336
379	1429	2332
380	1433	2328
381	1437	2325
